OrderID,OrderDate,ShipName,ShipCountry
10293,"2023-08-29 00:00:00","Tortuga Restaurante",Mexico
10294,"2023-08-30 00:00:00","Rattlesnake Canyon Grocery",USA
10295,"2023-09-02 00:00:00","Vins et alcools Chevalier",France
10296,"2023-09-03 00:00:00",LILA-Supermercado,Venezuela
10297,"2023-09-04 00:00:00","Blondel pre et fils",France
10298,"2023-09-05 00:00:00","Hungry Owl All-Night Grocers",Ireland
10299,"2023-09-06 00:00:00","Ricardo Adocicados",Brazil
10300,"2023-09-09 00:00:00","Magazzini Alimentari Riuniti",Italy
10301,"2023-09-09 00:00:00","Die Wandernde Kuh",Germany
10302,"2023-09-10 00:00:00","Suprmes dlices",Belgium
10303,"2023-09-11 00:00:00","Godos Cocina Tpica",Spain
10304,"2023-09-12 00:00:00","Tortuga Restaurante",Mexico
10305,"2023-09-13 00:00:00","Old World Delicatessen",USA
10306,"2023-09-16 00:00:00","Romero y tomillo",Spain
10307,"2023-09-17 00:00:00","Lonesome Pine Restaurant",USA
10308,"2023-09-18 00:00:00","Ana Trujillo Emparedados y helados",Mexico
10309,"2023-09-19 00:00:00","Hungry Owl All-Night Grocers",Ireland
10310,"2023-09-20 00:00:00","The Big Cheese",USA
10311,"2023-09-20 00:00:00","Du monde entier",France
10312,"2023-09-23 00:00:00","Die Wandernde Kuh",Germany
10313,"2023-09-24 00:00:00",QUICK-Stop,Germany
10314,"2023-09-25 00:00:00","Rattlesnake Canyon Grocery",USA
10315,"2023-09-26 00:00:00","Island Trading",UK
10316,"2023-09-27 00:00:00","Rattlesnake Canyon Grocery",USA
10317,"2023-09-30 00:00:00","Lonesome Pine Restaurant",USA
10318,"2023-10-01 00:00:00","Island Trading",UK
10319,"2023-10-02 00:00:00","Tortuga Restaurante",Mexico
10320,"2023-10-03 00:00:00","Wartian Herkku",Finland
10321,"2023-10-03 00:00:00","Island Trading",UK
10322,"2023-10-04 00:00:00","Pericles Comidas clsicas",Mexico
10323,"2023-10-07 00:00:00","Kniglich Essen",Germany
10324,"2023-10-08 00:00:00","Save-a-lot Markets",USA
10325,"2023-10-09 00:00:00","Kniglich Essen",Germany
10326,"2023-10-10 00:00:00","Blido Comidas preparadas",Spain
10327,"2023-10-11 00:00:00","Folk och f HB",Sweden
10328,"2023-10-14 00:00:00","Furia Bacalhau e Frutos do Mar",Portugal
10329,"2023-10-15 00:00:00","Split Rail Beer & Ale",USA
10330,"2023-10-16 00:00:00",LILA-Supermercado,Venezuela
10331,"2023-10-16 00:00:00","Bon app-",France
10332,"2023-10-17 00:00:00","Mre Paillarde",Canada
10333,"2023-10-18 00:00:00","Wartian Herkku",Finland
10334,"2023-10-21 00:00:00","Victuailles en stock",France
10335,"2023-10-22 00:00:00","Hungry Owl All-Night Grocers",Ireland
10336,"2023-10-23 00:00:00","Princesa Isabel Vinhos",Portugal
10337,"2023-10-24 00:00:00",Frankenversand,Germany
10338,"2023-10-25 00:00:00","Old World Delicatessen",USA
10339,"2023-10-28 00:00:00","Mre Paillarde",Canada
10340,"2023-10-29 00:00:00","Bon app-",France
10341,"2023-10-29 00:00:00","Simons bistro",Denmark
10342,"2023-10-30 00:00:00",Frankenversand,Germany
10343,"2023-10-31 00:00:00","Lehmanns Marktstand",Germany
10344,"2023-11-01 00:00:00","White Clover Markets",USA
10345,"2023-11-04 00:00:00",QUICK-Stop,Germany
10346,"2023-11-05 00:00:00","Rattlesnake Canyon Grocery",USA
10347,"2023-11-06 00:00:00","Familia Arquibaldo",Brazil
10348,"2023-11-07 00:00:00","Die Wandernde Kuh",Germany
10349,"2023-11-08 00:00:00","Split Rail Beer & Ale",USA
10350,"2023-11-11 00:00:00","La maison d-Asie",France
10351,"2023-11-11 00:00:00","Ernst Handel",Austria
10352,"2023-11-12 00:00:00","Furia Bacalhau e Frutos do Mar",Portugal
10353,"2023-11-13 00:00:00","Piccolo und mehr",Austria
10354,"2023-11-14 00:00:00","Pericles Comidas clsicas",Mexico
10355,"2023-11-15 00:00:00","Around the Horn",UK
10356,"2023-11-18 00:00:00","Die Wandernde Kuh",Germany
10357,"2023-11-19 00:00:00",LILA-Supermercado,Venezuela
10358,"2023-11-20 00:00:00","La maison d-Asie",France
10359,"2023-11-21 00:00:00","Seven Seas Imports",UK
10360,"2023-11-22 00:00:00","Blondel pre et fils",France
10361,"2023-11-22 00:00:00",QUICK-Stop,Germany
10362,"2023-11-25 00:00:00","Bon app-",France
10363,"2023-11-26 00:00:00","Drachenblut Delikatessen",Germany
10364,"2023-11-26 00:00:00","Eastern Connection",UK
10365,"2023-11-27 00:00:00","Antonio Moreno Taquera",Mexico
10366,"2023-11-28 00:00:00","Galera del gastronmo",Spain
10367,"2023-11-28 00:00:00",Vaffeljernet,Denmark
10368,"2023-11-29 00:00:00","Ernst Handel",Austria
10369,"2023-12-02 00:00:00","Split Rail Beer & Ale",USA
10370,"2023-12-03 00:00:00","Chop-suey Chinese",Switzerland
10371,"2023-12-03 00:00:00","La maison d-Asie",France
10372,"2023-12-04 00:00:00","Queen Cozinha",Brazil
10373,"2023-12-05 00:00:00","Hungry Owl All-Night Grocers",Ireland
10374,"2023-12-05 00:00:00","Wolski Zajazd",Poland
10375,"2023-12-06 00:00:00","Hungry Coyote Import Store",USA
10376,"2023-12-09 00:00:00","Mre Paillarde",Canada
10377,"2023-12-09 00:00:00","Seven Seas Imports",UK
10378,"2023-12-10 00:00:00","Folk och f HB",Sweden
10379,"2023-12-11 00:00:00","Que Delcia",Brazil
10380,"2023-12-12 00:00:00","Hungry Owl All-Night Grocers",Ireland
10381,"2023-12-12 00:00:00",LILA-Supermercado,Venezuela
10382,"2023-12-13 00:00:00","Ernst Handel",Austria
10383,"2023-12-16 00:00:00","Around the Horn",UK
10384,"2023-12-16 00:00:00","Berglunds snabbkp",Sweden
10385,"2023-12-17 00:00:00","Split Rail Beer & Ale",USA
10386,"2023-12-18 00:00:00","Familia Arquibaldo",Brazil
10387,"2023-12-18 00:00:00","Sant Gourmet",Norway
10388,"2023-12-19 00:00:00","Seven Seas Imports",UK
10389,"2023-12-20 00:00:00","Bottom-Dollar Markets",Canada
10390,"2023-12-23 00:00:00","Ernst Handel",Austria
10391,"2023-12-23 00:00:00","Drachenblut Delikatessen",Germany
10392,"2023-12-24 00:00:00","Piccolo und mehr",Austria
10393,"2023-12-25 00:00:00","Save-a-lot Markets",USA
10394,"2023-12-25 00:00:00","Hungry Coyote Import Store",USA
10395,"2023-12-26 00:00:00",HILARION-Abastos,Venezuela
10396,"2023-12-27 00:00:00",Frankenversand,Germany
10397,"2023-12-27 00:00:00","Princesa Isabel Vinhos",Portugal
10398,"2023-12-30 00:00:00","Save-a-lot Markets",USA
10399,"2023-12-31 00:00:00",Vaffeljernet,Denmark
10400,"2024-01-01 00:00:00","Eastern Connection",UK
10401,"2024-01-01 00:00:00","Rattlesnake Canyon Grocery",USA
10402,"2024-01-02 00:00:00","Ernst Handel",Austria
10403,"2024-01-03 00:00:00","Ernst Handel",Austria
10404,"2024-01-03 00:00:00","Magazzini Alimentari Riuniti",Italy
10405,"2024-01-06 00:00:00",LINO-Delicateses,Venezuela
10406,"2024-01-07 00:00:00","Queen Cozinha",Brazil
10407,"2024-01-07 00:00:00","Ottilies Kseladen",Germany
10408,"2024-01-08 00:00:00","Folies gourmandes",France
10409,"2024-01-09 00:00:00","Ocano Atlntico Ltda.",Argentina
10410,"2024-01-10 00:00:00","Bottom-Dollar Markets",Canada
10411,"2024-01-10 00:00:00","Bottom-Dollar Markets",Canada
10412,"2024-01-13 00:00:00","Wartian Herkku",Finland
10413,"2024-01-14 00:00:00","La maison d-Asie",France
10414,"2024-01-14 00:00:00","Familia Arquibaldo",Brazil
10415,"2024-01-15 00:00:00","Hungry Coyote Import Store",USA
10416,"2024-01-16 00:00:00","Wartian Herkku",Finland
10417,"2024-01-16 00:00:00","Simons bistro",Denmark
10418,"2024-01-17 00:00:00",QUICK-Stop,Germany
10419,"2024-01-20 00:00:00","Richter Supermarkt",Switzerland
10420,"2024-01-21 00:00:00","Wellington Importadora",Brazil
10421,"2024-01-21 00:00:00","Que Delcia",Brazil
10422,"2024-01-22 00:00:00","Franchi S.p.A.",Italy
10423,"2024-01-23 00:00:00","Gourmet Lanchonetes",Brazil
10424,"2024-01-23 00:00:00","Mre Paillarde",Canada
10425,"2024-01-24 00:00:00","La maison d-Asie",France
10426,"2024-01-27 00:00:00","Galera del gastronmo",Spain
10427,"2024-01-27 00:00:00","Piccolo und mehr",Austria
10428,"2024-01-28 00:00:00","Reggiani Caseifici",Italy
10429,"2024-01-29 00:00:00","Hungry Owl All-Night Grocers",Ireland
10430,"2024-01-30 00:00:00","Ernst Handel",Austria
10431,"2024-01-30 00:00:00","Bottom-Dollar Markets",Canada
10432,"2024-01-31 00:00:00","Split Rail Beer & Ale",USA
10433,"2024-02-03 00:00:00","Princesa Isabel Vinhos",Portugal
10434,"2024-02-03 00:00:00","Folk och f HB",Sweden
10435,"2024-02-04 00:00:00","Consolidated Holdings",UK
10436,"2024-02-05 00:00:00","Blondel pre et fils",France
10437,"2024-02-05 00:00:00","Wartian Herkku",Finland
10438,"2024-02-06 00:00:00","Toms Spezialitten",Germany
10439,"2024-02-07 00:00:00","Mre Paillarde",Canada
10440,"2024-02-10 00:00:00","Save-a-lot Markets",USA
10441,"2024-02-10 00:00:00","Old World Delicatessen",USA
10442,"2024-02-11 00:00:00","Ernst Handel",Austria
10443,"2024-02-12 00:00:00","Reggiani Caseifici",Italy
10444,"2024-02-12 00:00:00","Berglunds snabbkp",Sweden
10445,"2024-02-13 00:00:00","Berglunds snabbkp",Sweden
10446,"2024-02-14 00:00:00","Toms Spezialitten",Germany
10447,"2024-02-14 00:00:00","Ricardo Adocicados",Brazil
10448,"2024-02-17 00:00:00","Rancho grande",Argentina
10449,"2024-02-18 00:00:00","Blondel pre et fils",France
10450,"2024-02-19 00:00:00","Victuailles en stock",France
10451,"2024-02-19 00:00:00",QUICK-Stop,Germany
10452,"2024-02-20 00:00:00","Save-a-lot Markets",USA
10453,"2024-02-21 00:00:00","Around the Horn",UK
10454,"2024-02-21 00:00:00","La maison d-Asie",France
10455,"2024-02-24 00:00:00","Wartian Herkku",Finland
10456,"2024-02-25 00:00:00","Kniglich Essen",Germany
10457,"2024-02-25 00:00:00","Kniglich Essen",Germany
10458,"2024-02-26 00:00:00","Suprmes dlices",Belgium
10459,"2024-02-27 00:00:00","Victuailles en stock",France
10460,"2024-02-28 00:00:00","Folk och f HB",Sweden
10461,"2024-02-28 00:00:00",LILA-Supermercado,Venezuela
10462,"2024-03-03 00:00:00","Consolidated Holdings",UK
10463,"2024-03-04 00:00:00","Suprmes dlices",Belgium
10464,"2024-03-04 00:00:00","Furia Bacalhau e Frutos do Mar",Portugal
10465,"2024-03-05 00:00:00",Vaffeljernet,Denmark
10466,"2024-03-06 00:00:00","Comrcio Mineiro",Brazil
10467,"2024-03-06 00:00:00","Magazzini Alimentari Riuniti",Italy
10468,"2024-03-07 00:00:00","Kniglich Essen",Germany
10469,"2024-03-10 00:00:00","White Clover Markets",USA
10470,"2024-03-11 00:00:00","Bon app-",France
10471,"2024-03-11 00:00:00","B-s Beverages",UK
10472,"2024-03-12 00:00:00","Seven Seas Imports",UK
10473,"2024-03-13 00:00:00","Island Trading",UK
10474,"2024-03-13 00:00:00","Pericles Comidas clsicas",Mexico
10475,"2024-03-14 00:00:00","Suprmes dlices",Belgium
10476,"2024-03-17 00:00:00",HILARION-Abastos,Venezuela
10477,"2024-03-17 00:00:00","Princesa Isabel Vinhos",Portugal
10478,"2024-03-18 00:00:00","Victuailles en stock",France
10479,"2024-03-19 00:00:00","Rattlesnake Canyon Grocery",USA
10480,"2024-03-20 00:00:00","Folies gourmandes",France
10481,"2024-03-20 00:00:00","Ricardo Adocicados",Brazil
10482,"2024-03-21 00:00:00","Lazy K Kountry Store",USA
10483,"2024-03-24 00:00:00","White Clover Markets",USA
10484,"2024-03-24 00:00:00","B-s Beverages",UK
10485,"2024-03-25 00:00:00",LINO-Delicateses,Venezuela
10486,"2024-03-26 00:00:00",HILARION-Abastos,Venezuela
10487,"2024-03-26 00:00:00","Queen Cozinha",Brazil
10488,"2024-03-27 00:00:00",Frankenversand,Germany
10489,"2024-03-28 00:00:00","Piccolo und mehr",Austria
10490,"2024-03-31 00:00:00",HILARION-Abastos,Venezuela
10491,"2024-03-31 00:00:00","Furia Bacalhau e Frutos do Mar",Portugal
10492,"2024-04-01 00:00:00","Bottom-Dollar Markets",Canada
10493,"2024-04-02 00:00:00","La maison d-Asie",France
10494,"2024-04-02 00:00:00","Comrcio Mineiro",Brazil
10495,"2024-04-03 00:00:00","Laughing Bacchus Wine Cellars",Canada
10496,"2024-04-04 00:00:00","Tradiao Hipermercados",Brazil
10497,"2024-04-04 00:00:00","Lehmanns Marktstand",Germany
10498,"2024-04-07 00:00:00",HILARION-Abastos,Venezuela
10499,"2024-04-08 00:00:00",LILA-Supermercado,Venezuela
10500,"2024-04-09 00:00:00","La maison d-Asie",France
10501,"2024-04-09 00:00:00","Blauer See Delikatessen",Germany
10502,"2024-04-10 00:00:00","Pericles Comidas clsicas",Mexico
10503,"2024-04-11 00:00:00","Hungry Owl All-Night Grocers",Ireland
10504,"2024-04-11 00:00:00","White Clover Markets",USA
10505,"2024-04-14 00:00:00","Mre Paillarde",Canada
10506,"2024-04-15 00:00:00","Kniglich Essen",Germany
10507,"2024-04-15 00:00:00","Antonio Moreno Taquera",Mexico
10508,"2024-04-16 00:00:00","Ottilies Kseladen",Germany
10509,"2024-04-17 00:00:00","Blauer See Delikatessen",Germany
10510,"2024-04-18 00:00:00","Save-a-lot Markets",USA
10511,"2024-04-18 00:00:00","Bon app-",France
10512,"2024-04-21 00:00:00","Familia Arquibaldo",Brazil
10513,"2024-04-22 00:00:00","Die Wandernde Kuh",Germany
10514,"2024-04-22 00:00:00","Ernst Handel",Austria
10515,"2024-04-23 00:00:00",QUICK-Stop,Germany
10516,"2024-04-24 00:00:00","Hungry Owl All-Night Grocers",Ireland
10517,"2024-04-24 00:00:00",North/South,UK
10518,"2024-04-25 00:00:00","Tortuga Restaurante",Mexico
10519,"2024-04-28 00:00:00","Chop-suey Chinese",Switzerland
10520,"2024-04-29 00:00:00","Sant Gourmet",Norway
10521,"2024-04-29 00:00:00","Cactus Comidas para llevar",Argentina
10522,"2024-04-30 00:00:00","Lehmanns Marktstand",Germany
10523,"2024-05-01 00:00:00","Seven Seas Imports",UK
10524,"2024-05-01 00:00:00","Berglunds snabbkp",Sweden
10525,"2024-05-02 00:00:00","Bon app-",France
10526,"2024-05-05 00:00:00","Wartian Herkku",Finland
10527,"2024-05-05 00:00:00",QUICK-Stop,Germany
10528,"2024-05-06 00:00:00","Great Lakes Food Market",USA
10529,"2024-05-07 00:00:00","Maison Dewey",Belgium
10530,"2024-05-08 00:00:00","Piccolo und mehr",Austria
10531,"2024-05-08 00:00:00","Ocano Atlntico Ltda.",Argentina
10532,"2024-05-09 00:00:00","Eastern Connection",UK
10533,"2024-05-12 00:00:00","Folk och f HB",Sweden
10534,"2024-05-12 00:00:00","Lehmanns Marktstand",Germany
10535,"2024-05-13 00:00:00","Antonio Moreno Taquera",Mexico
10536,"2024-05-14 00:00:00","Lehmanns Marktstand",Germany
10537,"2024-05-14 00:00:00","Richter Supermarkt",Switzerland
10538,"2024-05-15 00:00:00","B-s Beverages",UK
10539,"2024-05-16 00:00:00","B-s Beverages",UK
10540,"2024-05-19 00:00:00",QUICK-Stop,Germany
10541,"2024-05-19 00:00:00","Hanari Carnes",Brazil
10542,"2024-05-20 00:00:00","Kniglich Essen",Germany
10543,"2024-05-21 00:00:00",LILA-Supermercado,Venezuela
10544,"2024-05-21 00:00:00","Lonesome Pine Restaurant",USA
10545,"2024-05-22 00:00:00","Lazy K Kountry Store",USA
10546,"2024-05-23 00:00:00","Victuailles en stock",France
10547,"2024-05-23 00:00:00","Seven Seas Imports",UK
10548,"2024-05-26 00:00:00","Toms Spezialitten",Germany
10549,"2024-05-27 00:00:00",QUICK-Stop,Germany
10550,"2024-05-28 00:00:00","Godos Cocina Tpica",Spain
10551,"2024-05-28 00:00:00","Furia Bacalhau e Frutos do Mar",Portugal
10552,"2024-05-29 00:00:00",HILARION-Abastos,Venezuela
10553,"2024-05-30 00:00:00","Wartian Herkku",Finland
10554,"2024-05-30 00:00:00","Ottilies Kseladen",Germany
10555,"2024-06-02 00:00:00","Save-a-lot Markets",USA
10556,"2024-06-03 00:00:00","Simons bistro",Denmark
10557,"2024-06-03 00:00:00","Lehmanns Marktstand",Germany
10558,"2024-06-04 00:00:00","Around the Horn",UK
10559,"2024-06-05 00:00:00","Blondel pre et fils",France
10560,"2024-06-06 00:00:00",Frankenversand,Germany
10561,"2024-06-06 00:00:00","Folk och f HB",Sweden
10562,"2024-06-09 00:00:00","Reggiani Caseifici",Italy
10563,"2024-06-10 00:00:00","Ricardo Adocicados",Brazil
10564,"2024-06-10 00:00:00","Rattlesnake Canyon Grocery",USA
10565,"2024-06-11 00:00:00","Mre Paillarde",Canada
10566,"2024-06-12 00:00:00","Blondel pre et fils",France
10567,"2024-06-12 00:00:00","Hungry Owl All-Night Grocers",Ireland
10568,"2024-06-13 00:00:00","Galera del gastronmo",Spain
10569,"2024-06-16 00:00:00","Rattlesnake Canyon Grocery",USA
10570,"2024-06-17 00:00:00","Mre Paillarde",Canada
10571,"2024-06-17 00:00:00","Ernst Handel",Austria
10572,"2024-06-18 00:00:00","Berglunds snabbkp",Sweden
10573,"2024-06-19 00:00:00","Antonio Moreno Taquera",Mexico
10574,"2024-06-19 00:00:00","Trail-s Head Gourmet Provisioners",USA
10575,"2024-06-20 00:00:00","Morgenstern Gesundkost",Germany
10576,"2024-06-23 00:00:00","Tortuga Restaurante",Mexico
10577,"2024-06-23 00:00:00","Trail-s Head Gourmet Provisioners",USA
10578,"2024-06-24 00:00:00","B-s Beverages",UK
10579,"2024-06-25 00:00:00","Let-s Stop N Shop",USA
10580,"2024-06-26 00:00:00","Ottilies Kseladen",Germany
10581,"2024-06-26 00:00:00","Familia Arquibaldo",Brazil
10582,"2024-06-27 00:00:00","Blauer See Delikatessen",Germany
10583,"2024-06-30 00:00:00","Wartian Herkku",Finland
10584,"2024-06-30 00:00:00","Blondel pre et fils",France
10585,"2024-07-01 00:00:00","Wellington Importadora",Brazil
10586,"2024-07-02 00:00:00","Reggiani Caseifici",Italy
10587,"2024-07-02 00:00:00","Que Delcia",Brazil
10588,"2024-07-03 00:00:00",QUICK-Stop,Germany
10589,"2024-07-04 00:00:00","Great Lakes Food Market",USA
10590,"2024-07-07 00:00:00","Mre Paillarde",Canada
10591,"2024-07-07 00:00:00",Vaffeljernet,Denmark
10592,"2024-07-08 00:00:00","Lehmanns Marktstand",Germany
10593,"2024-07-09 00:00:00","Lehmanns Marktstand",Germany
10594,"2024-07-09 00:00:00","Old World Delicatessen",USA
10595,"2024-07-10 00:00:00","Ernst Handel",Austria
10596,"2024-07-11 00:00:00","White Clover Markets",USA
10597,"2024-07-11 00:00:00","Piccolo und mehr",Austria
10598,"2024-07-14 00:00:00","Rattlesnake Canyon Grocery",USA
10599,"2024-07-15 00:00:00","B-s Beverages",UK
10600,"2024-07-16 00:00:00","Hungry Coyote Import Store",USA
10601,"2024-07-16 00:00:00",HILARION-Abastos,Venezuela
10602,"2024-07-17 00:00:00",Vaffeljernet,Denmark
10603,"2024-07-18 00:00:00","Save-a-lot Markets",USA
10604,"2024-07-18 00:00:00","Furia Bacalhau e Frutos do Mar",Portugal
10605,"2024-07-21 00:00:00","Mre Paillarde",Canada
10606,"2024-07-22 00:00:00","Tradiao Hipermercados",Brazil
10607,"2024-07-22 00:00:00","Save-a-lot Markets",USA
10608,"2024-07-23 00:00:00","Toms Spezialitten",Germany
10609,"2024-07-24 00:00:00","Du monde entier",France
10610,"2024-07-25 00:00:00","La maison d-Asie",France
10611,"2024-07-25 00:00:00","Wolski Zajazd",Poland
10612,"2024-07-28 00:00:00","Save-a-lot Markets",USA
10613,"2024-07-29 00:00:00",HILARION-Abastos,Venezuela
10614,"2024-07-29 00:00:00","Blauer See Delikatessen",Germany
10615,"2024-07-30 00:00:00","Wilman Kala",Finland
10616,"2024-07-31 00:00:00","Great Lakes Food Market",USA
10617,"2024-07-31 00:00:00","Great Lakes Food Market",USA
10618,"2024-08-01 00:00:00","Mre Paillarde",Canada
10619,"2024-08-04 00:00:00","Mre Paillarde",Canada
10620,"2024-08-05 00:00:00","Laughing Bacchus Wine Cellars",Canada
10621,"2024-08-05 00:00:00","Island Trading",UK
10622,"2024-08-06 00:00:00","Ricardo Adocicados",Brazil
10623,"2024-08-07 00:00:00",Frankenversand,Germany
10624,"2024-08-07 00:00:00","The Cracker Box",USA
10625,"2024-08-08 00:00:00","Ana Trujillo Emparedados y helados",Mexico
10626,"2024-08-11 00:00:00","Berglunds snabbkp",Sweden
10627,"2024-08-11 00:00:00","Save-a-lot Markets",USA
10628,"2024-08-12 00:00:00","Blondel pre et fils",France
10629,"2024-08-12 00:00:00","Godos Cocina Tpica",Spain
10630,"2024-08-13 00:00:00","Kniglich Essen",Germany
10631,"2024-08-14 00:00:00","La maison d-Asie",France
10632,"2024-08-14 00:00:00","Die Wandernde Kuh",Germany
10633,"2024-08-15 00:00:00","Ernst Handel",Austria
10634,"2024-08-15 00:00:00","Folies gourmandes",France
10635,"2024-08-18 00:00:00","Magazzini Alimentari Riuniti",Italy
10636,"2024-08-19 00:00:00","Wartian Herkku",Finland
10637,"2024-08-19 00:00:00","Queen Cozinha",Brazil
10638,"2024-08-20 00:00:00",LINO-Delicateses,Venezuela
10639,"2024-08-20 00:00:00","Sant Gourmet",Norway
10640,"2024-08-21 00:00:00","Die Wandernde Kuh",Germany
10641,"2024-08-22 00:00:00",HILARION-Abastos,Venezuela
10642,"2024-08-22 00:00:00","Simons bistro",Denmark
10643,"2024-08-25 00:00:00","Alfreds Futterkiste",Germany
10644,"2024-08-25 00:00:00","Wellington Importadora",Brazil
10645,"2024-08-26 00:00:00","Hanari Carnes",Brazil
10646,"2024-08-27 00:00:00","Hungry Owl All-Night Grocers",Ireland
10647,"2024-08-27 00:00:00","Que Delcia",Brazil
10648,"2024-08-28 00:00:00","Ricardo Adocicados",Brazil
10649,"2024-08-28 00:00:00","Maison Dewey",Belgium
10650,"2024-08-29 00:00:00","Familia Arquibaldo",Brazil
10651,"2024-09-01 00:00:00","Die Wandernde Kuh",Germany
10652,"2024-09-01 00:00:00","Gourmet Lanchonetes",Brazil
10653,"2024-09-02 00:00:00",Frankenversand,Germany
10654,"2024-09-02 00:00:00","Berglunds snabbkp",Sweden
10655,"2024-09-03 00:00:00","Reggiani Caseifici",Italy
10656,"2024-09-04 00:00:00","Great Lakes Food Market",USA
10657,"2024-09-04 00:00:00","Save-a-lot Markets",USA
10658,"2024-09-05 00:00:00",QUICK-Stop,Germany
10659,"2024-09-05 00:00:00","Queen Cozinha",Brazil
10660,"2024-09-08 00:00:00","Hungry Coyote Import Store",USA
10661,"2024-09-09 00:00:00","Hungry Owl All-Night Grocers",Ireland
10662,"2024-09-09 00:00:00","Lonesome Pine Restaurant",USA
10663,"2024-09-10 00:00:00","Bon app-",France
10664,"2024-09-10 00:00:00","Furia Bacalhau e Frutos do Mar",Portugal
10665,"2024-09-11 00:00:00","Lonesome Pine Restaurant",USA
10666,"2024-09-12 00:00:00","Richter Supermarkt",Switzerland
10667,"2024-09-12 00:00:00","Ernst Handel",Austria
10668,"2024-09-15 00:00:00","Die Wandernde Kuh",Germany
10669,"2024-09-15 00:00:00","Simons bistro",Denmark
10670,"2024-09-16 00:00:00",Frankenversand,Germany
10671,"2024-09-17 00:00:00","France restauration",France
10672,"2024-09-17 00:00:00","Berglunds snabbkp",Sweden
10673,"2024-09-18 00:00:00","Wilman Kala",Finland
10674,"2024-09-18 00:00:00","Island Trading",UK
10675,"2024-09-19 00:00:00",Frankenversand,Germany
10676,"2024-09-22 00:00:00","Tortuga Restaurante",Mexico
10677,"2024-09-22 00:00:00","Antonio Moreno Taquera",Mexico
10678,"2024-09-23 00:00:00","Save-a-lot Markets",USA
10679,"2024-09-23 00:00:00","Blondel pre et fils",France
10680,"2024-09-24 00:00:00","Old World Delicatessen",USA
10681,"2024-09-25 00:00:00","Great Lakes Food Market",USA
10682,"2024-09-25 00:00:00","Antonio Moreno Taquera",Mexico
10683,"2024-09-26 00:00:00","Du monde entier",France
10684,"2024-09-26 00:00:00","Ottilies Kseladen",Germany
10685,"2024-09-29 00:00:00","Gourmet Lanchonetes",Brazil
10686,"2024-09-30 00:00:00","Piccolo und mehr",Austria
10687,"2024-09-30 00:00:00","Hungry Owl All-Night Grocers",Ireland
10688,"2024-10-01 00:00:00",Vaffeljernet,Denmark
10689,"2024-10-01 00:00:00","Berglunds snabbkp",Sweden
